Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/97782-ufc-fight-night,UFC 288: Sterling vs. Cejudo,"Saturday, May 06, 2023",Prudential Center,"Newark, NJ"
https://www.tapology.com/fightcenter/events/97740-ufc-fight-night,UFC Fight Night: Song vs. Simón,"Saturday, April 29, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/97433-ufc-fight-night,UFC Fight Night: Pavlovich vs. Blaydes,"Saturday, April 22, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/97461-ufc-fight-night,UFC Fight Night: Holloway vs. Allen,"Saturday, April 15, 2023",T-Mobile Center,"Kansas City, MO"
https://www.tapology.com/fightcenter/events/96871-ufc-287,UFC 287: Pereira vs Adesanya 2,"Saturday, April 08, 2023",Miami-Dade Arena,"Miami, FL"
https://www.tapology.com/fightcenter/events/96078-ufc-fight-night,UFC Fight Night: Vera vs. Sandhagen,"Saturday, March 25, 2023",AT&T Center,"San Antonio, TX"
https://www.tapology.com/fightcenter/events/95408-ufc-286,UFC 286: Edwards vs. Usman 3,"Saturday, March 18, 2023",O2 Arena,"London, GB"
https://www.tapology.com/fightcenter/events/95455-ufc-fight-night-smith-vs-hill,UFC Fight Night: Yan vs. Dvalishvili,"Saturday, March 11, 2023",The Theater at Virgin Hotels,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/94418-ufc-285,UFC 285: Jones vs. Gane,"Saturday, March 04, 2023",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/95023-ufc-fight-night,UFC Fight Night: Muniz vs. Allen,"Saturday, February 25, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/94589-ufc-fight-night,UFC Fight Night: Andrade vs. Blanchfield,"Saturday, February 18, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/93764-ufc-284,UFC 284: Makhachev vs. Volkanovski,"Saturday, February 11, 2023",RAC Arena,"Perth, WA"
https://www.tapology.com/fightcenter/events/93977-ufc-fight-night,UFC Fight Night: Lewis vs. Spivac,"Saturday, February 04, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/92055-ufc-283,UFC 283: Teixeira vs. Hill,"Saturday, January 21, 2023",Jeunesse Arena,"Rio, RJ"
https://www.tapology.com/fightcenter/events/93279-ufc-fight-night,UFC Fight Night: Strickland vs. Imavov,"Saturday, January 14, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/92365-ufc-fight-night,UFC Fight Night: Cannonier vs. Strickland,"Saturday, December 17, 2022",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/92214-ufc-282,UFC 282: Błachowicz vs. Ankalaev,"Saturday, December 10, 2022",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/91801-ufc-fight-night,UFC Fight Night: Thompson vs. Holland,"Saturday, December 03, 2022",Amway Center,"Orlando, FL"
https://www.tapology.com/fightcenter/events/91976-ufc-fight-night,UFC Fight Night: Nzechukwu vs. Cuțelaba,"Saturday, November 19, 2022",UFC Apex,"Las Vegas, NV"
